,name,description
0,女士Campside牛津鞋,"这款极致舒适的系带牛津鞋采用超柔软帆布、厚实缓震和优质结构，让您从第一次穿上就感受到磨合好的舒适感。

尺码与版型：请按常规鞋码订购。若无半码，请订购大半码的整码。

规格：每双约重1磅1盎司。

结构：柔软帆布材质，带来磨合后的舒适感与外观。舒适EVA内底，配备Cleansport NXT®抗菌除臭技术。内底印有复古狩猎、钓鱼和露营图案。内底具有适度足弓轮廓。EVA泡沫中底提供缓震与支撑。链齿纹灵感模压橡胶外底，采用改良链齿纹图案。进口。

有问题？如有任何疑问，请联系我们。"
1,再生Waterhog人字纹狗垫,"使用我们这款在美国本土制造的超耐用再生Waterhog狗垫，保护您的地板免受泼洒和飞溅。

规格
小号 - 尺寸：18"" x 28""。
中号 - 尺寸：22.5"" x 34.5""。

我们为何喜爱它
大自然、湿鞋和泥爪遇到了克星——我们的再生Waterhog垫。采用再生塑料材质坚固构造，这些超坚韧的垫子有助于防止泥土和水弄脏您的地板，同时减少塑料进入垃圾填埋场、小径和海洋。现在，这对每个人来说都是双赢。

面料与护理
吸尘或用水管冲洗清洁。

结构
24盎司聚酯面料，由94%再生材料制成。
橡胶底背。

附加特性
采用独家设计。
粗细纤维结合，可刮除污垢并吸收水分。
快干，防褪色、防腐烂、防霉变、防掉毛。
室内外均可使用。
美国制造。

有问题？如有任何疑问，请联系我们的客户服务团队。"
2,婴幼儿及小女童Coastal Chill两件式泳装,她会爱上这款小女童两件式泳装的明艳色彩、荷叶边和独家趣味印花！我们的四向弹力防氯面料能保持版型并防勾丝。UPF 50+评级面料提供最高级别的防晒保护，阻挡98%的有害紫外线。交叉防滑肩带和全衬里底部确保贴合稳固和最大覆盖。机洗并悬挂晾干效果最佳。进口。
3,Refresh泳装，V领撞色坦克尼,"无论您是想游泳还是去玩立式桨板，这款水上运动就绪的坦克尼上衣都能随您而动，保持舒适。同时以引人注目的撞色风格展现出色外观。

尺码与版型
修身：贴合身体。

我们为何喜爱它
这款泳装上衣不仅穿着舒适，其面料也对地球友好。采用再生尼龙，搭配Lycra®氨纶，提供恰到好处的弹力。

面料与护理
优质意大利混纺面料，透气、快干且耐磨。
主体采用82%再生尼龙和18% Lycra®氨纶。
内衬采用90%再生尼龙和10% Lycra®氨纶。
UPF 50+评级——提供最高级别的防晒保护。
手洗，悬挂晾干。

附加特性
轻质工字背肩带，穿脱方便，不会妨碍活动。
修身V领轮廓。
进口。

持久防晒
我们的高性能面料提供SPF"
4,EcoFlex 3L风暴裤,"我们全新的TEK O2技术让这款四季防水裤更加透气。无论进行何种活动，无论天气如何，都能保证您干爽舒适。尺码与版型：臀部和腿部微修身。

我们为何喜爱它：我们最先进的TEK O2技术提供了我们测试过的最高透气性。作为滑雪裤非常出色，也是全年各种户外活动的理想选择。此外，它们还配备了户外爱好者看重的众多功能，包括防风雨雪套和便捷的侧拉链。空气进。水出。了解我们的透气TEK O2技术如何让您保持干爽舒适。

面料与护理：100%尼龙，饰边除外。机洗并烘干。

附加特性：三层外壳提供防水保护。全新TEK O2技术提升透气性。内部雪套阻挡雨雪。全开侧拉链，方便穿脱靴子。两个拉链手袋。大腿口袋。进口。

 – 美国滑雪队官方供应商
他们的意志"
5,柔滑舒适格纹衬衫，微修身,我们的男士微修身格纹衬衫是您衣橱的完美选择！顾客们非常喜欢它从烘干机拿出来就能直接穿的合身效果。尺码与版型：微修身，胸部和袖子宽松，腰部微收。面料与护理：100%棉府绸，具有不会洗掉的免烫性能。我们创新的TrueCool®面料能吸湿排汗，帮助快速干燥。附加特性：传统款式，配有纽扣领和单贴袋。进口。
6,男士Outdoor Research Apex手套,这款Outdoor Research Arete手套是您荒野探险的完美选择。它们采用坚韧的Taslan尼龙外壳和可拆卸的Gore-Tex®尼龙抓绒内衬，快干并提供全面的保护和保暖。手背采用弹性尼龙Lycra氨纶软壳面料，活动自如，而人体工学设计让您的双手自然活动，获得最大舒适度。护腕式闭合设计阻挡冰雪和冷风，特殊口袋可插入暖宝宝，帮助双手保暖。外壳和100重量抓绒内衬均可单独佩戴或组合佩戴以获得最大保暖效果。进口。这些手套还提供严密的防水保护，并高度透气，让水汽排出。获得您对Gore-Tex面料所期望的耐用性。
7,女士超柔运动衫，宽松圆领,这款圆领运动衫采用柔软法式毛圈布制成，让您在漫长的一天后倍感舒适。它的外观也非常出色，完全可以穿着出门逛街。我们最宽松的版型，远离身体，下摆及臀。它由95%棉和5%氨纶制成，采用厚实的中量法式毛圈面料，外部光滑，内部柔软毛圈。它采用塑形设计，打造迷人、女性化的版型，配有插肩袖、带侧开叉的直下摆，以及后摆略长的弧形下摆。机洗并烘干。进口。
8,Mountain Man 抓绒夹克,"我们最具性价比的抓绒夹克设计灵感源自我们的档案库，采用100%再生聚酯纤维制成，带来无与伦比的舒适感和百搭风格。

尺码与版型：微修身。最适合搭配轻薄内搭。衣长及臀。

我们喜爱它的理由：我们的设计师从档案库中汲取灵感，打造出这款超柔软抓绒夹克。我们非常喜欢它将传统风格与现代修身版型完美结合。此外，它采用100%再生抓绒面料制成——让您在保暖的同时也为环保尽一份力。

面料与护理：100%再生抓绒面料柔软、舒适且对环境友好。超柔长毛绒纤维防风，带来更佳的保暖效果。可机洗并烘干。

附加特性：饰有我们经典的卡塔丁山（Mount Katahdin）标志。受Bart Boot鞋带启发的拉链和抽绳。下方两个带拉链插手袋。弹性袖口和下摆抽绳有效阻挡冷空气。进口。"
9,紧凑型露营桌，25英寸,这款铝制便携式露营桌非常适合自驾露营、野餐和车尾派对。它采用一体式设计，配有可伸缩桌腿，折叠后可收纳成小巧的包裹。该桌子由轻质耐用的铝材制成，承重可达60磅。展开尺寸为高25英寸 x 宽25英寸 x 深27.5英寸，折叠尺寸为高25英寸 x 宽24英寸 x 深2英寸，重量为5磅10盎司。这张桌子可供多达四人用餐，也可用作边桌。
10,舒适居家套头套装，条纹款,"这款条纹针织套装非常适合居家休闲，名副其实。我们采用超柔软面料和简约设计，无论是睡前穿着还是临时出门都非常舒适。

尺码与版型
- 裤子为经典版型：低腰设计。
- 宽松版型：我们最宽松的版型，离身体最远。

面料与护理
- 采用最柔软的混纺面料：63%聚酯纤维、35%人造丝和2%氨纶。

附加特性
- 宽松版型上衣，配有插肩袖和下摆圆弧设计。
- 套头裤配有宽弹力腰带和抽绳、侧边口袋以及现代修身裤腿。

进口。"
11,Ultra-Lofty 850 弹力连帽羽绒服,这款来自我们 DownTek 系列的技术型弹力羽绒服，采用全弹力结构，提供卓越的活动范围，确保您温暖舒适。微修身版型，衣长及臀，最适合搭配中等厚度内搭，适合轻度活动至20°和中度活动至-30°的环境。柔软耐用的100%聚酯纤维外壳提供全面的防风保护，内部填充保暖蓬松的鹅绒。其他特性包括无缝压胶绗缝结构带来无车线设计和出色弹力、可调节兜帽、内部媒体端口和网眼收纳袋以及下摆抽绳。可机洗并烘干。进口。
12,CozyCloud 法兰绒床单套装,"我们的 Ultrasoft 法兰绒床品系列纯色柔软法兰绒床单套装，是追求全年舒适人士的理想选择。5盎司的重量和拉绒棉法兰绒结构，使其在多次洗涤后依然保持鲜艳色彩。它已通过 OEKO-TEX® STANDARD 100 认证（137 CITEVE）的有害物质检测，并在葡萄牙独家为我们编织。本套装包括一张平床单、一张床笠和两个枕套；Twin（单人）尺寸包含一个枕套。

规格：
Twin（单人）：
平床单：102英寸 x 72英寸。
床笠：76英寸 x 39英寸 x 15英寸口袋深度。
枕套（1个）：32英寸 x 20英寸。

Full（双人）：
平床单：102英寸 x 86英寸。
床笠：76英寸 x 54英寸 x 15英寸口袋深度。
枕套（2个）：32英寸 x 20英寸。

Queen（大号）：
平床单：104英寸 x 96英寸。
床笠：80英寸 x 60英寸 x 15英寸口袋深度。
枕套（2个）：32英寸 x 20英寸。

King（特大号）：
平床单：110"
13,男士 Maine Explorer 前拉链夹克式衬衫,"这款经典羊毛夹克式衬衫是夹克与衬衫的独特结合，让您一年四季皆可穿着。版型宽松，在寒冷天气非常适合作为叠穿内搭，在温暖时也可作为外套衬衫穿着。

尺码与版型
传统版型：胸部、袖子和腰部宽松。

面料与护理
85%羊毛，15%尼龙。
纯色：每平方码11盎司。
迷彩：每平方码15盎司。
干洗。

附加特性
连体外部羊毛披肩，在毛毛雨和雪中提供额外的保暖和保护。
两个贴边暖手袋和两个可扣合的胸部口袋。
剪裁宽大，适合在寒冷天气叠穿。
优质羊毛，具有卓越的耐用性。
湿水后依然保暖，在树林中走动时安静无声。
袖口和领口饰有超细麂皮绒边，贴肤更舒适。
坚固的黄铜拉链。
口袋纽扣经过加固，确保安全。
袖口双纽扣设计，增加可调节性。
进口。"
14,易打理经典条纹短袖衬衫，传统版型,"终极条纹青年布衬衫——我们保留了您喜爱的一切，并使其更加出色。100%棉质，轻盈透气，经过易打理处理，抗皱效果极佳。

尺码与版型
传统版型：胸部、袖子和腰部宽松。

我们喜爱它的理由
即使是像经典青年布这样备受喜爱的单品，也总有改进的空间。这正是我们所做的——推出我们独家的易打理青年布。它轻盈、透气且抗皱。只需扔进洗衣机，从烘干机拿出来就能直接穿。

面料与护理
100%棉质青年布。轻微熨烫可使其看起来更加挺括。可机洗并烘干。

附加特性
单贴袋。纽扣领。进口。

有疑问？
欢迎随时与我们联系，咨询任何问题。"
15,Wind Chaser 110 皮划艇,"这款轻型休闲皮划艇采用硬折角船体设计，性能卓越；宽敞的座舱便于进出；稳定性极佳，让全家人都能享受划桨的乐趣。

规格：
承重：278磅。
重量：带座椅38磅；不带座椅32磅。
尺寸：11英尺 x 27英寸。

结构：
采用超轻耐用的热成型ABS塑料制成。

附加特性：
船尾隔板提供浮力和干燥储物空间。
10英寸铰链舱口便于进入船尾储物舱。
船头和船尾甲板弹力绳用于存放防水袋和装备。
桨架将桨固定在甲板上。
超舒适框架座椅可轻松卡入甲板下方的安装支架。
座椅可拆卸，用作沙滩椅。
旋转锁定脚踏支撑系统，可在坐姿下轻松调节。
船头和船尾模制提手提供舒适的抓握感，便于搬运。
55英寸超大座舱便于进出，并可容纳一名儿童或宠物。
美国制造。

"
16,迷彩Trekker中厚半拉链套头连帽衫,"这款迷彩半拉链连帽衫是一款极其百搭的中间层，非常适合所有狩猎季节。它由保暖透气的抓绒制成，配有创新的轻质连帽设计，内置面罩。

面料与护理：100%聚酯纤维。可机洗并烘干。

附加特性：寒冷天气的绝佳叠穿单品。防风硬壳抓绒安静且防水、防碎屑和防勾丝。超柔软抓绒内里保暖，可穿在叠穿层外或贴身穿。独特的轻质连帽设计内置面罩，提供额外保暖和完全隐蔽。内置关节设计提供出色的活动范围。半长拉链便于穿脱和通风。胸前单侧垂直储物袋。袖口拇指孔提供额外覆盖；不使用时保持闭合。平缝不会摩擦或勾住内层。进口。"
17,Summit Soft双人沙发,"我们的软包双人沙发专为较小空间设计，可带来多年的享受。规格：尺寸：38""H x 61""W x 36""D。重量：115磅。

我们为何喜爱它：我们与北卡罗来纳州的专业软包工匠密切合作，以实惠的价格为您带来这款坚固的经典风格双人沙发。我们精心设计的Pine Point软包系列采用柔软耐用的面料，呈现持久的传统风格，适合任何空间。

面料与护理：100%聚酯纤维面料。局部清洁。

结构：窑干硬木和人造板。重型钢弹簧提供额外支撑。高密度泡沫和柔软聚酯纤维填充。

附加特性：提供多种颜色选择的全软包设计，具有永恒的魅力。采用柔软厚实的软垫设计，百搭经典风格。美国制造，面料进口。

有问题？请联系我们的客户服务团队获取更多信息。"
18,"Zen Wave SUP桨板，10'8""","这款充气SUP桨板结合了硬板的刚性和充气板的便利性。充气至坚如磐石的20 psi，性能可媲美硬板。规格：尺寸：10'8""L x 35""W x 6""D。

附加特性：
- 适合巡游、健身划桨和轻度河流漂流。
- 充气至坚如磐石的20 psi，性能接近硬板。
- 流线型结构，实现轻量化性能。
- 四个D型环，用于连接装备和必需品。
- 包含三个尾鳍、旅行收纳袋、打气筒和修理包。
- 放气后可紧凑折叠，便于运输和存放。
- EVA甲板垫提供纹理表面，增加抓地力和舒适度。
- 进口。

如何选择SUP：为您寻找最佳桨板——从在平静水域划桨到挑战大浪。观看视频SUP购买指南"
19,Buckingham皮革沙发,"我们的美国制造Leather Lodge系列提供优质的工艺、极致的舒适度和休闲风格。规格：尺寸：36""H x 78""W x 39""D。重量：159磅11盎司（含包装材料）。结构：耐用的实心窑干硬木框架。高密度泡沫坐垫。实木脚。丰富的全粒面皮革具有打磨的温暖感和柔软的手感。附加特性：时尚、舒适且做工精良。框架具有卓越的细木工工艺，并采用弹簧结构以确保弹性。巧克力棕色具有柔软、磨合的感觉和美丽的自然光泽。栗棕色略带做旧效果，呈现华丽的复古外观。美国制造，采用进口材料。有问题？"
20,女士CamelBak Horizon水袋包,"当您准备记录一些里程时，这款女士Aurora CamelBak水袋包专为贴合您的身形而设计，让您从头到尾保持舒适的水分补充。规格：背包容量：305立方英寸，5升；重量：14盎司；尺寸：15 1/8""H x 10¼""W x 8 7/8""D；水袋容量：85盎司。我们为何喜爱它：专为女性设计，采用弧形肩带和紧凑形状，在您需要时和需要的地方提供所需的水和装备。结构：采用200旦尼尔平纹聚酯纤维制成；透气网眼背板和肩带轻盈凉爽；抗菌内衬防止异味和异味；全新Crux水袋流速快20%。附加特性：纤薄设计不会妨碍头盔或球衣口袋的取用；弧形肩带和紧凑形状自然贴合女性躯干；两个拉链袋可存放钥匙、备用内胎和其他必需品；反光滚边提高可见度；背部有挂环可安装闪烁灯；进口。"
21,Militia圆领套头衫,我们的男士突击队员毛衣舒适、保暖且风格无可挑剔。尺寸与版型：微修身：胸部和袖子宽松，腰部微收。我们的微修身毛衣以前称为修身版型，胸部和袖子宽松，腰部微收。我们为何喜爱它：这款毛衣的灵感源自浸透着传统与历史的标志性突击队员毛衣，二战期间英国特种空勤团（S.A.S.）曾穿着它。面料与护理：100%美利奴羔羊毛，21盎司。肩部和肘部补丁：100%棉。手洗并平铺晾干，或干洗。附加特性：保暖羊毛毛衣，如同二战期间英国突击队所穿。出色的弹性和保形性。圆领和翻折袖口。肘部和肩部补丁确保耐穿。深受顾客喜爱的热门款。整洁、修身的外观。无束缚版型，适合户外舒适穿着。进口。
22,Comfyside运动裤，直筒,"我们的超柔软运动裤采用直筒款式——由极其舒适的法式毛圈布制成。

尺寸与版型
内长：女士 30½""，娇小女士 28½""，中高女士 32½""，大码女士 30½""。
经典版型：位于腰部。
臀部和腿部微修身。
直筒。

面料与护理
95%棉和5%氨纶。
可机洗并烘干。

附加特性
法式毛圈布贴身穿感觉非常柔软舒适。
采用塑形设计，打造更修身、更具女性魅力的版型。
松紧腰带配抽绳，前口袋。
进口。

有问题？请联系客户服务获取更多信息。"
23,Campers'探险包，拉链顶口带肩带,"非常适合水禽狩猎、训犬或射击，这款防水拉链顶口托特包能够承受野外的粗暴使用，同时保护您的物品免受损坏并保持干燥。它已升级配备便捷的肩带。

规格
中号
容量：约936立方英寸，15升。
重量：1磅1盎司。
尺寸：12""H x 13""W x 6""D。

大号
容量：约1,785立方英寸，29升。
重量：1磅9盎司。
尺寸：15""H x 17""W x 7""D。

特大号
容量：约3,230立方英寸，53升。
重量：2磅3盎司。
尺寸：17""H x 19""W x 10""D。

结构
热塑性内涂层，既耐用又防水，保持您的装备干燥。
采用坚韧的1,200旦尼尔聚酯纤维外壳制成。
重叠接缝采用尼龙双线缝合，不会腐烂或断裂。
可调节手提肩带，由坚韧的尼龙织带制成"
24,少儿全地形探险鞋,我们色彩缤纷的儿童防水徒步鞋采用独家 Tek2.5 技术，带来如运动鞋般的舒适感，让您在步道上和日常生活中都能享受乐趣。我们喜爱它的理由：我们的徒步靴拥有明亮的设计，小徒步者们一定会喜欢穿——而且这种有趣的外观可以轻松从步道穿到学校。这些靴子出色的合脚度和坚固的结构年复一年地赢得了客户的高度评价。结构：透气网眼尼龙和防水麂皮鞋面。Nylex 内衬。附加功能：带缓冲的 EVA 中底和可拆卸 EVA 鞋垫提供开箱即穿的显著舒适感。鞋跟和鞋头防撞设计增加耐用性。系带款式，可自定义贴合度。TEK2.5 防水技术确保双脚在各种条件下保持干爽。Trail Trac 橡胶外底采用多功能防滑齿纹，在各种表面提供抓地力。进口。
25,女士 PrimaLoft Downpour 夹克,我们的 PrimaLoft 连帽保暖夹克经过重新设计，让您在任何天气下都能保持温暖与轻盈。它防风防水，并提供两级舒适度：轻度活动至 35°，中度活动至 -15°。更新后的结构采用 PrimaLoft 的 Cross Core 技术，这是 PrimaLoft Gold 保暖材料与气凝胶的融合。这种组合在不增加任何重量的情况下提供了 15% 的额外保暖效果。聚酯纤维外壳和内衬 100% 回收，可机洗。这款夹克配有易穿脱的弹性兜帽、带音频端口的内部媒体口袋、两个插手口袋、一个胸部口袋、抽绳下摆，以及一个便于收纳的便携口袋。探索 Cross Core 并观看视频了解更多信息。
26,MaxGrip 运动袜，双件装,我们的女士吸湿排汗袜采用速干透气面料和贴心缓冲设计，让您在任何活动中都能保持双脚凉爽干燥。面料与护理：43% 尼龙，40% CoolMax 聚酯纤维，15% NanoGlide 尼龙，2% 氨纶。机洗和烘干以获得最佳护理效果。附加功能：CoolMax 纱线提供先进的湿气控制，NanoGlide 技术减少摩擦并防止起水泡，网眼环绕足部提供 360 度透气性，脚跟和脚趾处带有缓冲。面料进口自美国。
27,狗狗窝垫,"我们的狗窝垫配有防水聚酯纤维套和 2"" 泡沫，可隔绝冰冷的狗窝地板，让您的爱犬在旅途中也能保持舒适。规格：中号：尺寸：17"" x 26""。大号：尺寸：18"" x 30""。特大号：尺寸：22"" x 33""。结构：聚酯纤维套和泡沫。进口。如有任何问题，请联系我们。"
28,Performance Plus 梭织衬衫,"这款透气夏季衬衫非常适合徒步或旅行，拥有棉质的外观和触感——但充满了高性能。尺寸与版型 微修身：柔和地勾勒身形。下摆及臀。

我们喜爱它的理由 专为荒野或城市街道的全面多功能性而设计。我们采用特殊的速干面料制作了这款梭织上衣——这是您能找到的干得最快的面料之一，因此您可以穿着这款外观出色、性能更佳的上衣去徒步或逛街。

面料与护理 100% 尼龙。UPF 40+ 评级，阻挡太阳紫外线。可机洗和烘干。

附加功能 不到十四分钟即可干燥。吸湿排汗。耐磨，具有卓越的耐用性。进口。

持久防晒 我们的高性能面料提供 SPF 50+ 防晒保护，阻挡 98% 的有害阳光。"
29,经典书包,"我们的原版书包在过去近 30 年里一直深受小学生家长的喜爱。其经典款式和耐用性享有盛誉，现在又增加了便捷的水瓶口袋。

规格：
容量：1,404 立方英寸，23 升
重量：1 磅
尺寸：16""H x 13""W x 7¼""

我们喜爱它的理由：
这款背包近三十年来一直是必备单品，其持久的品质毋庸置疑。更新的水瓶口袋使其更能满足孩子的日常需求。

结构：
采用防风雨 100% 尼龙制成
带软垫的背板，提供全天候舒适感
带软垫的加固肩带
坚固的拉链，可使用多年
正面和肩带配有 3M™ Scotchlite™ 反光材料，提高可见度

附加功能：
大主隔层可容纳午餐盒、书籍、练习册、手工作品等
前袋配有钥匙夹、收纳板和放置午餐钱或小宝贝的地方
可轻松折叠，便于收纳在更大的背包或行李袋中"
30,儿童山地探险抓绒衣，印花款,"

我们采用抗起球面料设计了这款温暖多功能的抓绒衣，确保在多次穿着和洗涤后依然美观。尺寸与版型：宽松版型。面料与护理：100% 聚酯纤维。可机洗和烘干。附加功能：优质抓绒面料抗起球，持久保持美观。单穿或作为凉爽天气的额外保暖层都很棒。立领、护颚设计和拉链口袋。背面三角形 3M™ Scotchlite™ 反光材料，提高可见度。传承灵感的 Mount Katahdin 标志。进口。"
31,乡村风回收木边桌,"这款带抽屉的乡村风木制边桌是任何生活区的独特且节省空间的补充。它由白松木手工打造，配有耐用的低光泽面漆，并经过打磨、染色和涂饰，打造出独一无二的作品。桌子尺寸为 24""H x 15""W x 24""D，重 26 磅。美国制造。有问题？联系我们获取帮助。"
